ID,LocationName,BuildingNumber,StreetAddress,Locality,Region,Postcode,CountryCode,UserID,IsNextOfKin,IsPrimary
1022,Université d'Auvergne (Clermont-Ferrand I),99060,35484 Caliangt Trail,Cergy-Pontoise,Île-de-France,GL96F,FR,22,1,1
1023,Université Libre de Tunis,50817,08143 Washington Hill,Banī Khallād,,OJ63Y,TN,23,1,1
1024,"Deutsch-Ordens Fachhochschule Riedlingen, Hochschule für Wirtschaft",5,68 Kingsford Circle,Berlin,Berlin,JE70L,DE,24,1,1
1025,Carlow Institute of Technology,60,24 Nancy Drive,Valleymount,,NV84B,IE,25,1,1
1026,National University of Ireland,644,0 Fieldstone Crossing,Cobh,,MD71B,IE,26,1,1
1027,Binus University,3214,3572 Fallview Pass,Langsa,,IF15Y,ID,27,1,1
1028,Instituto Politécnico de Setúbal,6422,47773 Daystar Park,Paços,Aveiro,ZK13Q,PT,28,1,1
1029,Institut Teknologi Bandung,2131,6833 Dryden Drive,Nangabere,,WF90W,ID,29,1,1
1030,Institute of Accountancy Arusha,2652,8 Mallory Point,Nkove,,TJ95N,TZ,30,1,1
1031,Shanghai University of Finance and Economics,8,017 Arapahoe Plaza,Wuyanquan,,ZO89Z,CN,31,1,1
1032,Universidad Dr. Rafael Belloso Chacín,25,30 Rockefeller Avenue,Las Vegas,,OC60Q,VE,32,1,1
1033,Universitas Jayabaya,0,66644 Barby Point,Sinjai,,ZH36L,ID,33,1,1
1034,Hellenic Open University,59,82844 Di Loreto Terrace,Pentaplátano,,YO15I,GR,34,1,1
1035,Brno University of Technology,766,483 Namekagon Alley,Svatava,,VS75S,CZ,35,1,1
1036,Södertörn University College,308,8621 East Road,Linköping,Östergötland,UF75D,SE,36,1,1
1037,Universitat Rámon Llull,37,534 Linden Way,Sevilla,Andalucia,RV16W,ES,37,1,1
1038,Vongchavalitkul University,202,46 Marcy Pass,Nong Ruea,,MU66Y,TH,38,1,1
1039,Hehai University,897,5 Green Plaza,Yushu,,MH22W,CN,39,1,1
1040,Kursk State Technical University,19,7 Bluejay Junction,Borzoy,,BA07V,RU,40,1,1
1041,Universidad Tecnológica del Peru,530,301 Farwell Drive,El Tambo,,KI04A,PE,41,1,1
1042,Nizhny Novgorod State Academy of Medicine,7,06272 Buell Alley,Krasnoyarka,,WI48P,RU,42,1,1
1043,Hallym University,66832,54 Hagan Road,Incheon,,NL07S,KR,43,1,1
1044,Tomas Bata University in Zlin,77,299 Russell Road,Slavkov u Brna,,MI12T,CZ,44,1,1
1045,Universitas Bengkulu,7800,091 Moland Point,Bunder,,QP14O,ID,45,1,1
1046,Xi'an Jiaotong University,5,6479 Clove Pass,Benniu,,NL95T,CN,46,1,1
1047,Latvian Academy of Music,426,5447 Division Plaza,Rēzekne,,DR05I,LV,47,1,1
1048,Tafila Technical University ,6,768 Tennyson Drive,Amman,,NF75O,JO,48,1,1
1049,Tibet University,2527,15 Oak Valley Street,Jiashan,,TQ30A,CN,49,1,1
1050,Syrian International Private University for Science & Technology,57,97 Logan Road,Qadsīyā,,CX87F,SY,50,1,1
1051,Central University for Nationalities,2733,2861 Dryden Plaza,Kunyang,,NJ63Z,CN,51,1,1
1052,Neijiang Teacher University,665,764 Monument Lane,Fengli,,PG56Z,CN,52,1,1
1053,University of Pangasinan,55,4737 Shelley Hill,Sinisian,,OY39U,PH,53,1,1
1054,Keiwa College,2441,49 Meadow Valley Drive,Nishishinminato,,GN02U,JP,54,1,1
1055,Epoka University,8989,475 Basil Way,Kryevidh,,AJ82F,AL,55,1,1
1056,Universidade Federal do Maranhão,75183,611 Reinke Circle,Leme,,XW39I,BR,56,1,1
1057,Kharkiv National University,24,9 Butterfield Drive,Mizoch,,KI70S,UA,57,1,1
1058,Xiangtan Normal University,73625,9 Portage Hill,Chadian,,DO39S,CN,58,1,1
1059,Universidade do Porto,61,64 Acker Drive,Zambujal,Lisboa,ED07T,PT,59,1,1
1060,Port Said University,90,4 Forest Run Court,Madīnat Sittah Uktūbar,,OS36P,EG,60,1,1
1061,Universidad de la Fraternidad de Agrupaciones Santo Tomas de Aquino (FASTA),848,8716 Rigney Point,Cerro Corá,,LE13J,AR,61,1,1
1062,Arellano University,34,03185 Village Court,Mabilang,,GK06J,PH,62,1,1
1063,Xinjiang Normal University,961,74 Darwin Terrace,Supu,,FS21E,CN,63,1,1
1064,Institute of Information Technology,67844,0 Everett Terrace,Omuthiya,,ZB85A,NA,64,1,1
1065,"Universidad de Bogotá ""Jorge Tadeo Lozano""",33,68 Kropf Alley,Cañasgordas,,TL81Z,CO,65,1,1
1066,Nordic School of Public Health,73,2 Bellgrove Circle,Värmdö,Stockholm,PN37B,SE,66,1,1
1067,Wenzhou Medical College,9598,1400 Loeprich Circle,Huayan,,SV36F,CN,67,1,1
1068,Petro Mohyla Black Sea State University,1,49 Fairfield Point,Khorol,,WO79K,UA,68,1,1
1069,Swedish University of Agricultural Sciences,81,6 Old Gate Parkway,Solna,Stockholm,AS23Y,SE,69,1,1
1070,University of Fine Arts Belgrade,3,5 Cottonwood Way,Putinci,,AL12B,RS,70,1,1
1071,Yantai Education Institute & Yantai Television University,7,5197 Reindahl Court,Jiekou,,BP59J,CN,71,1,1
1072,Shenyang Polytechnic University,2,78 Graceland Park,Bei’an,,LY01Y,CN,72,1,1
1073,Ecole Nationale Supérieure des Industries Textiles de Mulhouse,9,564 Barby Point,Lille,Nord-Pas-de-Calais,ME43Y,FR,73,1,1
1074,Universitas Nasional Pasim,454,36 Arkansas Way,Sulo,,ZN64C,ID,74,1,1
1075,Universidade Salvador,98364,7123 Redwing Drive,Birigui,,TS94F,BR,75,1,1
1076,"Federal University of Technology, Minna",9,14 Fuller Park,Tambawel,,IF49G,NG,76,1,1
1077,Tama Art University,4,37 Karstens Point,Tsukumiura,,ZN37I,JP,77,1,1
1078,Charles University Prague,567,55 Fisk Circle,Žďár nad Sázavou Druhy,,GP10Q,CZ,78,1,1
1079,Universitas Trilogi,14,1505 Lighthouse Bay Place,Montor Timur,,CL89H,ID,79,1,1
1080,Universitas Wijaya Kusuma Surabaya,46,88 Manley Avenue,Rahayu,,RF22I,ID,80,1,1
1081,Abfi Institute Perbanas Jakarta,156,60547 Roth Park,Padangtiji,,FB81N,ID,81,1,1
1082,University of Wroclaw,8,92680 Merrick Junction,Gizałki,,MP55S,PL,82,1,1
1083,Université Abdou Moumouni de Niamey,6487,2 Carey Hill,Tillabéri,,OI41X,NE,83,1,1
1084,Ecole Supérieure d'Informatique et de Management,6,44192 Nelson Park,Arazane,,SC72N,MA,84,1,1
1085,University of Lower Silesia of the Association for the Advancement of Education in Wroclaw.,42,43 Hansons Trail,Skoroszyce,,WP61B,PL,85,1,1
1086,Dalian University of Technology,65086,07138 Anzinger Parkway,Yanggu,,GL21E,CN,86,1,1
1087,Université de Corse Pascal Paoli,9,1 Summerview Point,Montpellier,Languedoc-Roussillon,GC18E,FR,87,1,1
1088,Universitas Islam Jakarta,7,55 Ruskin Place,Kabar Utara,,CV94H,ID,88,1,1
1089,Feati University,40730,10107 Merry Crossing,Muricay,,YS84S,PH,89,1,1
1090,Universitas Muhammadiyah Makassar,590,6 Towne Place,Muara,,CR26P,ID,90,1,1
1091,Universidad Nacional de La Plata,6801,1585 Waxwing Court,La Quiaca,,ND74E,AR,91,1,1
1092,Suzhou University,8,6364 Brown Terrace,Jiazhi,,FM51Q,CN,92,1,1
1093,International University of Japan,98506,22 Almo Way,Uwajima,,KI09R,JP,93,1,1
1094,University of the Philippines Diliman,37601,3344 Prentice Point,Culasian,,IJ24M,PH,94,1,1
1095,Universidad Rafael Urdaneta,9,81725 Hoard Junction,Santa María de Caparo,,RU26M,VE,95,1,1
1096,University of Victoria,12,7 Golf Course Road,Oxford,Nova Scotia,AY44C,CA,96,1,1
1097,Beijing University of Chinese Medicine and Pharmacology,41,6 Straubel Place,Tiyuguan,,KP74B,CN,97,1,1
1098,Obninsk State Technical University for Nuclear Power Engineering,436,600 Northview Crossing,Iset’,,PY00D,RU,98,1,1
1099,Bishop's University,49844,57057 Mayer Circle,Saint John,New Brunswick,KM44I,CA,99,1,1
1100,Qinghai Normal University,108,4 Raven Street,Nantian,,DB11Z,CN,100,1,1
1101,Canadian College of Business & Computers,22,1132 Del Mar Trail,Carleton Place,Ontario,IW25R,CA,101,1,1
1102,Universidade do Estado do Rio Grande do Norte,64,20212 Warbler Crossing,Itapetininga,,WI03U,BR,102,1,1
1103,Universidade Catolica Portuguesa,910,311 Anhalt Center,Outeiro,Vila Real,FU77P,PT,103,1,1
1104,Ecole Nationale Vétérinaire de Nantes,159,8346 Bunting Avenue,Issy-les-Moulineaux,Île-de-France,TE71M,FR,104,1,1
1105,University of Sarajevo,1606,105 Rockefeller Road,Živinice,,UH04U,BA,105,1,1
1106,Universitas Pattimura,7722,67 Valley Edge Trail,Pangatikan,,DJ80N,ID,106,1,1
1107,Institut Teknologi Adhi Tama Surabaya,8831,6804 Elmside Trail,Lendan,,IX36U,ID,107,1,1
1108,Shanxi Agricultural University,15072,496 Merrick Court,Shufeng,,TN66X,CN,108,1,1
1109,Victoria University of Wellington,9,52504 Golf Course Way,Ngaruawahia,,AR21J,NZ,109,1,1
1110,Universidad Tecnológica del Peru,90,2 Farwell Alley,Pallasca,,OW20O,PE,110,1,1
1111,University of Lagos,6454,74059 Di Loreto Pass,Barakani,,DT30C,KM,111,1,1
1112,Riga Teacher Training and Educational Management Academy,88,464 Ryan Trail,Vaiņode,,HX07B,LV,112,1,1
1113,Universitas Tadulako,9,346 Kipling Drive,Sukoanyar,,KE39T,ID,113,1,1
1114,Université de Bamako,3622,651 Brown Terrace,Tominian,,XQ48X,ML,114,1,1
1115,Université Stendhal (Grenoble III),96,43783 Dixon Crossing,Paris 11,Île-de-France,IE60J,FR,115,1,1
1116,NTI University,6403,51692 Buell Avenue,Sneek,Provincie Friesland,MN95A,NL,116,1,1
1117,Universidad Tecnológica Oteima,81,7 Spohn Parkway,Los Lotes,,KQ58C,PA,117,1,1
1118,Manarat International University,5056,1033 Becker Place,Chilmāri,,CR36Q,BD,118,1,1
1119,Universidad Champagnat,58524,3 Oak Park,Quilino,,YX52O,AR,119,1,1
1120,Universidade Vale do Rio Doce,90,5537 Mendota Court,Brumado,,MA13S,BR,120,1,1
1121,Saratov State Agrarian University,411,451 Porter Hill,Gusev,,TZ48H,RU,121,1,1
1122,University of King's College,1396,0 Cordelia Hill,Cabano,Québec,EI89U,CA,122,1,1
1123,Universidad del Pacifico,1407,365 Oak Crossing,Sojo,,WZ65J,PE,123,1,1
1124,Universidad Nacional Pedro Ruíz Gallo,73,3 West Pass,Acobamba,,PK43H,PE,124,1,1
1125,Nara Medical University,971,82378 Spenser Way,Usuki,,IX43G,JP,125,1,1
1126,Ecole Nationale Supérieure de Biologie Appliquée à la Nutrition et à l'Alementation,897,21 Sugar Circle,Rungis,Île-de-France,EQ40H,FR,126,1,1
1127,"Physical Education Academy ""Jozef Pilsudski"" in Warsaw",5,78 Raven Court,Winnica,,UO94G,PL,127,1,1
1128,Trisakti Institute of Tourism ,716,12 Manley Trail,Tebluru,,SL19C,ID,128,1,1
1129,Dnepropetrovsk National University,76321,53 Hudson Street,Hola Prystan’,,XT46I,UA,129,1,1
1130,Universitas Klabat,17,66346 Homewood Point,Pumai,,GT86L,ID,130,1,1
1131,Ecole Supérieure d'Electricité,32,9251 Moland Road,Nîmes,Languedoc-Roussillon,KS33K,FR,131,1,1
1132,Victoria University of Wellington,709,71 Prentice Circle,Picton,,LG05K,NZ,132,1,1
1133,University of Finance and Management in Bialystok,0,74424 Coleman Avenue,Pierzchnica,,HV85W,PL,133,1,1
1134,Assumption University of Thailand,2,860 Homewood Pass,Pak Phanang,,RO72B,TH,134,1,1
1135,DEI Bachelor & Master Degrees,3,02106 Helena Trail,Lamía,,VC92E,GR,135,1,1
1136,Universidad Católica de Santa Fé,464,41 Fisk Plaza,Berón de Astrada,,PT60V,AR,136,1,1
1137,Anhui Medical University,98362,9328 Dryden Court,Dasheng,,FR29J,CN,137,1,1
1138,Universitas Tidar Magelang,55,0454 Welch Trail,Pocokan Satu,,CD48H,ID,138,1,1
1139,Tomas Bata University in Zlin,4532,317 Reinke Street,Mnichovo Hradiště,,HV73L,CZ,139,1,1
1140,Tyumen State Agricultural Academy,740,99294 Jenna Pass,Nogliki,,EQ91Q,RU,140,1,1
1141,Samara State Agricultural Academy,1804,06 Crowley Circle,Kharp,,LI66H,RU,141,1,1
1142,Takoradi Polytechnic ,1,65767 Mccormick Park,Akim Swedru,,IQ36Y,GH,142,1,1
1143,Université de Bretagne Sud,0,28 Haas Road,Crépy-en-Valois,Picardie,BC41U,FR,143,1,1
1144,Harbin Engineering University,837,140 Leroy Lane,Changyanbao,,MB12O,CN,144,1,1
1145,"University College of Arts, Crafts and Design",515,93552 Duke Lane,Tyresö,Stockholm,DX69H,SE,145,1,1
1146,University College of Trollhättan/Uddevalla,13,10843 Kinsman Hill,Ängelholm,Skåne,WA75E,SE,146,1,1
1147,Centro Regional Universitário de Espiríto Santo do Pinhal,2991,3995 Scoville Avenue,Aparecida,,AT10E,BR,147,1,1
1148,North China University of Technology,3104,3 Oakridge Lane,Xinsheng,,PI95N,CN,148,1,1
1149,Irkutsk State University,346,76 Roth Way,Kabakovo,,WR15I,RU,149,1,1
1150,North-West State Technical University,27,8 Esker Avenue,Chaltyr,,EP08L,RU,150,1,1
1151,University of Reggio Calabria,4,923 Havey Point,Elato,,BZ06K,FM,151,1,1
1152,"Escuela de Policia ""General Santander""",84083,28694 Linden Parkway,Philipsburg,,CL19H,SX,152,1,1
1153,Centro Regional Universitário de Espiríto Santo do Pinhal,7,6455 Maryland Circle,Garibaldi,,RE94U,BR,153,1,1
1154,Brock University,7,74446 Pleasure Pass,Stratford,Ontario,EJ96B,CA,154,1,1
1155,Universidad del Istmo,0,78 Meadow Valley Trail,Huité,,TB24Z,GT,155,1,1
1156,"Instituto de Artes Visuais, Design e Marketing - IADE",66214,34 Buell Center,Covas da Raposa,Setúbal,OK76F,PT,156,1,1
1157,Institut Teknologi Adhi Tama Surabaya,5925,92 5th Trail,Komes,,SF36S,ID,157,1,1
1158,Dagestan State University,8036,21 Ridge Oak Center,Yutsa,,RK97Y,RU,158,1,1
1159,Neumann College,0,99782 Granby Way,Detroit,Michigan,ZJ63C,US,159,1,1
1160,Universidad Francisco de Paula Santander,85491,2 Kim Court,Bagadó,,ZV77J,CO,160,1,1
1161,Nanjing University of Chemical Technology,1589,6 Fordem Center,Biyong,,KW65H,CN,161,1,1
1162,Beijing University of Chinese Medicine and Pharmacology,565,9 Sunbrook Lane,Yengiawat,,LR87Z,CN,162,1,1
1163,Hadhramout University of Science and Technology ,5371,3 Hanson Place,Yufrus,,BR51A,YE,163,1,1
1164,Universidade do Vale do Itajaí,33877,415 Autumn Leaf Pass,Contagem,,PJ28D,BR,164,1,1
1165,Ecole Nationale Supérieure de Chimie de Mulhouse,23202,0945 International Park,Aubagne,Provence-Alpes-Côte d'Azur,HE16O,FR,165,1,1
1166,University of Guelph,18,147 Monument Park,Ladner,British Columbia,QZ86V,CA,166,1,1
1167,Universidad de Cádiz,873,475 Spohn Junction,Santander,Cantabria,KF16R,ES,167,1,1
1168,Universitas Diponegoro,70822,767 Reindahl Trail,Sindangsari,,QD51M,ID,168,1,1
1169,3rd Military Medical University,4,501 Almo Terrace,Gulong,,PX50W,CN,169,1,1
1170,Ecole Nationale Supérieur de Mécanique et d'Aéronautique,65,0590 Crowley Center,Laval,Pays de la Loire,BS13L,FR,170,1,1
1171,Universidad de Sonsonate,96735,55577 Anthes Pass,Tenancingo,,FH24I,SV,171,1,1
1172,Xinjiang University,903,593 Swallow Point,Guanshan,,GM60S,CN,172,1,1
1173,Karelian State Pedagogical University,7920,0066 Morrow Point,Yaroslavskaya,,KG45N,RU,173,1,1
1174,Institute of Management and Economy,2,3292 Bayside Crossing,Strelka,,WI76W,RU,174,1,1
1175,Cape Peninsula University of Technology,8295,29010 Crowley Lane,Knysna,,AX92S,ZA,175,1,1
1176,Universitas Merdeka Madiun,3,49671 Manufacturers Circle,Nginjen,,MK54B,ID,176,1,1
1177,Kalmyk State University,4,510 Chinook Avenue,Pavlovka,,DZ08Z,RU,177,1,1
1178,Drake University,9281,27978 Northridge Alley,Knoxville,Tennessee,ZP03H,US,178,1,1
1179,Russian-Armenian (Slavonic) State University,98266,6 Lawn Road,Gagarin,,ZO87R,AM,179,1,1
1180,"Florida Metropolitan University, Tampa College Lakeland",4649,3990 Hagan Street,Sacramento,California,UT63U,US,180,1,1
1181,Al Yarmouk University College,8,30659 Johnson Pass,‘Anat al Qadīmah,,DB64H,IQ,181,1,1
1182,Beijing Sport University,33635,2701 Lawn Court,Huochang,,IP24X,CN,182,1,1
1183,Ecole Universitaire d'Ingénieurs de Lille,8495,53376 Warrior Plaza,Wissous,Île-de-France,AY55S,FR,183,1,1
1184,Université de Ouagadougou,4514,9641 Northfield Trail,Koupéla,,WY72K,BF,184,1,1
1185,Universidade de Marília,514,1978 Scoville Trail,Osasco,,BT61I,BR,185,1,1
1186,Xi'an University of Architecture and Technology,45,1 Hintze Point,Partang,,AJ39T,CN,186,1,1
1187,Universidad Nacional de Entre Ríos,553,3 Stang Parkway,San Salvador de Jujuy,,GH07C,AR,187,1,1
1188,University of Ulster,20712,646 Thierer Drive,Birmingham,England,RA52E,GB,188,1,1
1189,National Mining University,13233,1596 Miller Way,Nova Kakhovka,,MB23N,UA,189,1,1
1190,"University of Perpetual Help, System Dalta",904,91 Ronald Regan Terrace,Tarangnan,,JN67W,PH,190,1,1
1191,Lampang Vocational College   ,780,5979 Starling Hill,Kamalasai,,SN20C,TH,191,1,1
1192,Herzen State Pedagogical University of Russia,1820,8 Bowman Road,Priyutovo,,GB58X,RU,192,1,1
1193,University of Technology,4,06 Ronald Regan Way,Mahébourg,,SQ33L,MU,193,1,1
1194,Kazan State University of Technology,2654,0887 Merrick Hill,Shakhty,,UC51E,RU,194,1,1
1195,Asia Europe University,7304,83 John Wall Court,Pursat,,YO00E,KH,195,1,1
1196,Instituto Politécnico de Setúbal,97,64814 Shasta Parkway,Tarouca,Viseu,BQ84L,PT,196,1,1
1197,Kharkiv National University of Economics,396,54833 Pennsylvania Lane,Shakhtars’k,,NA43J,UA,197,1,1
1198,Universidad Santa Fe,60,677 Bunting Court,Emiliano Zapata,Mexico,MO16Q,MX,198,1,1
1199,University of the Philippines Open University,231,8588 Lyons Road,Olutanga,,UD50I,PH,199,1,1
1200,Universidad Juárez del Estado de Durango,20612,566 Moulton Way,Benito Juarez,Morelos,NG82O,MX,200,1,1
1201,Université de Bamako,13250,6778 Lien Center,Gourma Rharous,,VU72D,ML,201,1,1
1202,Medical University Pleven,27,1 Lien Crossing,Primorsko,,IQ38M,BG,202,1,1
1203,Ateneo de Zamboanga University,782,29 Colorado Park,Paombong,,TG26V,PH,203,1,1
1204,Huaihua Radio and Television University,4299,5 Dixon Parkway,Huaxijie,,YG81K,CN,204,1,1
1205,Universitas Simalungun,940,533 Crest Line Court,Klapagading,,LP08L,ID,205,1,1
1206,Gotland University College,914,35 Melby Crossing,Kristinehamn,Värmland,FS74S,SE,206,1,1
1207,Technical University of Mining and Metallurgy Ostrava,57929,0198 Troy Trail,Horka nad Moravou,,JH03I,CZ,207,1,1
1208,Philippine Christian University,5,00 Kropf Plaza,La Roxas,,QA50D,PH,208,1,1
1209,Universitas Negeri Semarang,4105,279 Vermont Drive,Pora,,KI21A,ID,209,1,1
1210,Universitas Ngurah Rai,1,0951 Artisan Park,Panjerrejo,,WG38V,ID,210,1,1
1211,"Islamic Azad University, Ardabil",10,82381 Farmco Place,Khvānsār,,IX38P,IR,211,1,1
1212,Kazak American University,280,4212 Starling Trail,Egindiköl,,BH69H,KZ,212,1,1
1213,Northwestern University of the Philippines,6133,41 Fisk Alley,Nama,,RK31T,PH,213,1,1
1214,Universitas Lampung,77581,9736 Warrior Pass,Pamotan,,EA72Z,ID,214,1,1
1215,Chiba University of Commerce,530,38443 Pierstorff Alley,Kanie,,OL36L,JP,215,1,1
1216,Universidade Lusiada,85,4845 Paget Drive,Cruzeiro,Viana do Castelo,SC40A,PT,216,1,1
1217,Tampere University of Technology,8504,5849 Cordelia Circle,Hirvensalmi,,OK87G,FI,217,1,1
1218,Yanbian University of Science and Technology,50,22817 Talisman Court,Xinghai,,GA54P,CN,218,1,1
1219,Hebei Agricultural University,69,62974 Express Plaza,Nantang,,EA96Q,CN,219,1,1
1220,Ecole Universitaire d'Ingénieurs de Lille,6,88326 Gale Circle,Paris 14,Île-de-France,EQ98M,FR,220,1,1
1221,International University Institute of Luxembourg,864,0 Ramsey Way,Eschweiler,,XG67R,LU,221,1,1
1222,Saint Ferdinand College,23,22 Clove Road,Battung,,GJ23L,PH,222,1,1
1223,Groupe Sup de Co Montpellier,21,06 Elgar Crossing,Avon,Île-de-France,IE45I,FR,223,1,1
1224,University of Santo Tomas,981,390 Red Cloud Alley,Apalit,,LJ26K,PH,224,1,1
1225,Ecole Supérieure d'Ingénieurs en Electronique et Electrotechnique,2,7 Waywood Junction,Roscoff,Bretagne,HW11F,FR,225,1,1
1226,Universidad Simón Bolivar,2,0788 Moulton Drive,San Casimiro,,QJ92G,VE,226,1,1
1227,Mbarara University of Science and Technology,2,4 Sullivan Lane,Buyende,,VB12D,UG,227,1,1
1228,Shanghai Normal University,29642,1 Westerfield Circle,Liulin,,ZR39N,CN,228,1,1
1229,Dawat University,5720,92895 Burning Wood Circle,Dāngām,,HU86R,AF,229,1,1
1230,Universitas Nasional Pasim,1,032 Menomonie Terrace,Negeriagung,,TB95I,ID,230,1,1
1231,Centro Universitário Monte Serrat,3227,152 Cottonwood Junction,Acaraú,,FW91D,BR,231,1,1
1232,University of Lower Silesia of the Association for the Advancement of Education in Wroclaw.,18,5062 Homewood Point,Ryczów,,YM11H,PL,232,1,1
1233,South China University of Technology,16322,87 Oneill Point,Gaoqiao,,GC22Y,CN,233,1,1
1234,University of Pardubice,987,3 Bartelt Alley,Horní Bříza,,LW73I,CZ,234,1,1
1235,Universitas Khairun,6,2466 West Place,Luti,,RD35X,ID,235,1,1
1236,University of the Philippines Mindanao,38,4 Crownhardt Circle,Taluksangay,,MB22B,PH,236,1,1
1237,Universitas Sebelas Maret,33145,264 Anzinger Point,Pandean,,SO60Y,ID,237,1,1
1238,Nanjing University of Chemical Technology,3,0 Anhalt Plaza,Donggong,,DN64L,CN,238,1,1
1239,Nagoya University of Commerce and Business Administration,87,0 Katie Circle,Tōkamachi,,XF42Y,JP,239,1,1
1240,Universidade de Mogi das Cruzes,4005,670 Charing Cross Circle,Brasília,,QY67L,BR,240,1,1
1241,African University of Science and Technology,9118,9272 Buell Hill,Amper,,GD46B,NG,241,1,1
1242,University of Benghazi,63,077 Killdeer Point,Hūn,,XZ54C,LY,242,1,1
1243,Yaroslavl State Technical University,18961,235 Clove Terrace,Mortka,,IC62S,RU,243,1,1
1244,South China University,498,52045 Birchwood Court,Pailou,,FB57B,CN,244,1,1
1245,Pyongyang University of Science and Technology,1,3 Sugar Junction,Hamhŭng,,RS57V,KP,245,1,1
1246,Universidad Antonio Nariño,73,7 Doe Crossing Trail,Sabaneta,,XP89B,CO,246,1,1
1247,Instituto Superior de Saúde do Alto Ave,6,8738 Hudson Trail,Cabra Figa,Lisboa,MR03F,PT,247,1,1
1248,Universitas Islam Syekh-Yusuf ,0,97 Columbus Center,Suwangi Utara,,ZR59G,ID,248,1,1
1249,International Turkmen Turkish University,68,5 Walton Plaza,Gazojak,,RN55Y,TM,249,1,1
1250,Fiji School of Medicine,14,58 Monument Street,Nadi,,UF13C,FJ,250,1,1
1251,Far Eastern University,57,7 Buell Plaza,Magdug,,XU99R,PH,251,1,1
1252,Harbin Engineering University,4153,6 Paget Court,Humen,,OF10X,CN,252,1,1
1253,Drzavni Univerzitet u Novom Pazaru,6,51 Bowman Road,Sremski Karlovci,,FQ77X,RS,253,1,1
1254,University of Ancona,581,12 Bunker Hill Terrace,Genova,Liguria,KV39N,IT,254,1,1
1255,China University of Mining Technology - Beijing,52126,422 Beilfuss Center,Turgun,,JO55P,CN,255,1,1
1256,Multnomah Bible College,7127,88 Manufacturers Plaza,Olympia,Washington,SY03N,US,256,1,1
1257,"Universidad Católica Boliviana, La Paz",44,49302 Summit Road,Riberalta,,VJ64X,BO,257,1,1
1258,University of Otago,16,997 Harbort Street,Lower Hutt,,GB74V,NZ,258,1,1
1259,Samara State Medical University,970,68574 Washington Place,Vykhino-Zhulebino,,BC90N,RU,259,1,1
1260,Universidad Tecnológica Centroamericana,0,66213 Buell Avenue,El Escanito,,FL31U,HN,260,1,1
1261,Instituto Superior de Paços de Brandão,166,5 Paget Park,Carvoeira,Lisboa,ZF47F,PT,261,1,1
1262,El Colegio de México,5020,1570 Monument Road,San Miguel,Chiapas,BY57N,MX,262,1,1
1263,University of Perpetual Help,0,2577 Eagan Park,Besao,,ZC62K,PH,263,1,1
1264,University of Southeastern Philippines,7,7 Arapahoe Plaza,Santa Fe,,ZV69G,PH,264,1,1
1265,University College Dublin,84371,4 Express Drive,Old Kilcullen,,JI25Q,IE,265,1,1
1266,Universidad Santo Tomás,351,51 Bobwhite Park,Socorro,,BM94E,CO,266,1,1
1267,Kabul Health Sciences Institute,2,25 Bayside Circle,Khānaqāh,,YP56F,AF,267,1,1
1268,Instituto Tecnológico de Aguascalientes,47,4 Eastwood Terrace,Bellavista,Veracruz Llave,PX83M,MX,268,1,1
